book_id,authors,original_title,isbn,language_code,image_url,average_rating,ratings_count,genre
2767052,Suzanne Collins,The Hunger Games,439023483,eng,https://images.gr-assets.com/books/1447303603m/2767052.jpg,4.34,4780653,"fiction, fantasy"
3,"J.K. Rowling, Mary GrandPré",Harry Potter and the Philosopher's Stone,439554934,eng,https://images.gr-assets.com/books/1474154022m/3.jpg,4.44,4602479,"fantasy, fiction"
41865,Stephenie Meyer,Twilight,316015849,en-US,https://images.gr-assets.com/books/1361039443m/41865.jpg,3.57,3866839,"fantasy, fiction"
2657,Harper Lee,To Kill a Mockingbird,61120081,eng,https://images.gr-assets.com/books/1361975680m/2657.jpg,4.25,3198671,"classics, fiction"
4671,F. Scott Fitzgerald,The Great Gatsby,743273567,eng,https://images.gr-assets.com/books/1490528560m/4671.jpg,3.89,2683664,"classics, fiction"
11870085,John Green,The Fault in Our Stars,525478817,eng,https://images.gr-assets.com/books/1360206420m/11870085.jpg,4.26,2346404,"fiction, romance"
5907,J.R.R. Tolkien,The Hobbit or There and Back Again,618260307,en-US,https://images.gr-assets.com/books/1372847500m/5907.jpg,4.25,2071616,"fantasy, classics"
5107,J.D. Salinger,The Catcher in the Rye,316769177,eng,https://images.gr-assets.com/books/1398034300m/5107.jpg,3.79,2044241,"classics, fiction"
960,Dan Brown,Angels & Demons ,1416524797,en-CA,https://images.gr-assets.com/books/1303390735m/960.jpg,3.85,2001311,"fiction, mystery"
1885,Jane Austen,Pride and Prejudice,679783261,eng,https://images.gr-assets.com/books/1320399351m/1885.jpg,4.24,2035490,"classics, fiction"
77203,Khaled Hosseini,The Kite Runner ,1594480001,eng,https://images.gr-assets.com/books/1484565687m/77203.jpg,4.26,1813044,"fiction, contemporary"
13335037,Veronica Roth,Divergent,62024035,eng,https://images.gr-assets.com/books/1328559506m/13335037.jpg,4.24,1903563,"fiction, fantasy"
5470,"George Orwell, Erich Fromm, Celâl Üster",Nineteen Eighty-Four,451524934,eng,https://images.gr-assets.com/books/1348990566m/5470.jpg,4.14,1956832,"fiction, fantasy"
