book_id,authors,original_title,genre,small_image_url
2767052,Suzanne Collins,The Hunger Games,"fiction, fantasy",https://images.gr-assets.com/books/1447303603s/2767052.jpg
3,"J.K. Rowling, Mary GrandPré",Harry Potter and the Philosopher's Stone,"fantasy, fiction",https://images.gr-assets.com/books/1474154022s/3.jpg
41865,Stephenie Meyer,Twilight,"fantasy, fiction",https://images.gr-assets.com/books/1361039443s/41865.jpg
2657,Harper Lee,To Kill a Mockingbird,"classics, fiction",https://images.gr-assets.com/books/1361975680s/2657.jpg
4671,F. Scott Fitzgerald,The Great Gatsby,"classics, fiction",https://images.gr-assets.com/books/1490528560s/4671.jpg
11870085,John Green,The Fault in Our Stars,"fiction, romance",https://images.gr-assets.com/books/1360206420s/11870085.jpg
5907,J.R.R. Tolkien,The Hobbit or There and Back Again,"fantasy, classics",https://images.gr-assets.com/books/1372847500s/5907.jpg
5107,J.D. Salinger,The Catcher in the Rye,"classics, fiction",https://images.gr-assets.com/books/1398034300s/5107.jpg
960,Dan Brown,Angels & Demons ,"fiction, mystery",https://images.gr-assets.com/books/1303390735s/960.jpg
1885,Jane Austen,Pride and Prejudice,"classics, fiction",https://images.gr-assets.com/books/1320399351s/1885.jpg
77203,Khaled Hosseini,The Kite Runner ,"fiction, contemporary",https://images.gr-assets.com/books/1484565687s/77203.jpg
13335037,Veronica Roth,Divergent,"fiction, fantasy",https://images.gr-assets.com/books/1328559506s/13335037.jpg
5470,"George Orwell, Erich Fromm, Celâl Üster",Nineteen Eighty-Four,"fiction, fantasy",https://images.gr-assets.com/books/1348990566s/5470.jpg
7613,George Orwell,Animal Farm: A Fairy Story,"classics, fiction",https://images.gr-assets.com/books/1424037542s/7613.jpg
48855,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,"classics, history",https://images.gr-assets.com/books/1358276407s/48855.jpg
2429135,"Stieg Larsson, Reg Keeland",Män som hatar kvinnor,"fiction, mystery",https://images.gr-assets.com/books/1327868566s/2429135.jpg
6148028,Suzanne Collins,Catching Fire,"fantasy, romance",https://images.gr-assets.com/books/1358273780s/6148028.jpg
